,Network,avg_invasion_time_beta0.1,avg_invasion_time_beta0.05,avg_prop_infected_beta0.1,avg_prop_infected_beta0.05,no_invasion_beta0.1,no_invasion_beta0.05,Fiedler,Adj_val,Rnot,network_size,most_infected_node,Modularity,Mean_degree,Centrality,transitivity.gcc_s..type....global..,Diameter
540,mammalia_voles_bhp_trapping,3.926315789,2.46,0.098437041,0.47733416,5,0,0.007827373,12.12621159,0.082465986,1613,274,0.775685783,0.00350902,12.12621159,0.265744251,15
541,mammalia_voles_kcs_trapping_01,2.857142857,11.21428571,0.404761905,0.553571429,93,72,0.324869129,2.228328216,0.448766924,6,2,0.319444444,0.4,2.228328216,0.428571429,4
542,mammalia_voles_kcs_trapping_02,2.923076923,6.847222222,0.190045249,0.407679739,87,28,0.200607461,3.812893654,0.262268002,17,8,0.458545918,0.205882353,3.812893654,0.44,6
543,mammalia_voles_kcs_trapping_03,3.428571429,9.407407407,0.535714286,0.703703704,93,73,1,2.170086487,0.460811127,4,4,0,0.666666667,2.170086487,0.6,2
544,mammalia_voles_kcs_trapping_04,2.583333333,7.205882353,0.357142857,0.634453782,88,66,0.438447187,3.389963388,0.294988437,7,2,0.155,0.476190476,3.389963388,0.652173913,4
545,mammalia_voles_kcs_trapping_05,3.142857143,4.402173913,0.122751323,0.402979066,65,8,0.187283241,4.443088819,0.225068649,27,6,0.559302852,0.133903134,4.443088819,0.431372549,6
546,mammalia_voles_kcs_trapping_06,2.806451613,5.845238095,0.115207373,0.31505102,69,16,0.062117047,3.673829616,0.27219553,28,6,0.616299822,0.108465608,3.673829616,0.459183673,10
547,mammalia_voles_kcs_trapping_07,3,5.221052632,0.104444444,0.268421053,75,5,0.078629739,3.623104919,0.27600636,36,26,0.61316568,0.082539683,3.623104919,0.362903226,10
548,mammalia_voles_kcs_trapping_08,3.117647059,7.242857143,0.208144796,0.396703297,83,30,0.208212098,3.528517427,0.283405147,13,8,0.412037037,0.230769231,3.528517427,0.512195122,6
549,mammalia_voles_kcs_trapping_09,3,7.93877551,0.266233766,0.391465677,86,51,0.121359703,2.726183818,0.366813123,11,7,0.413194444,0.218181818,2.726183818,0.315789474,7
550,mammalia_voles_kcs_trapping_10,3.444444444,8.442307692,0.365079365,0.549450549,91,48,0.623921022,2.878881728,0.347357097,7,6,0.222222222,0.428571429,2.878881728,0.352941176,4
551,mammalia_voles_kcs_trapping_11,3,8.741935484,0.357142857,0.479262673,94,69,0.32171965,2.297008741,0.4353488,7,5,0.357142857,0.333333333,2.297008741,0.333333333,4
552,mammalia_voles_kcs_trapping_12,3.230769231,8.185185185,0.237762238,0.45959596,87,46,0.231176326,3.584645294,0.278967629,11,2,0.267857143,0.254545455,3.584645294,0.428571429,5
553,mammalia_voles_kcs_trapping_13,2.787878788,4.904761905,0.165945166,0.480725624,67,16,0.228325178,5.575197596,0.17936584,21,14,0.408163265,0.2,5.575197596,0.526315789,6
554,mammalia_voles_kcs_trapping_14,3.657894737,3.96,0.110121457,0.381384615,62,0,0.024600829,6.38802368,0.156542939,65,50,0.686530982,0.065865385,6.38802368,0.494057725,13
555,mammalia_voles_kcs_trapping_15,3.125,8.189655172,0.182692308,0.354111406,92,42,0.140647575,2.959685685,0.337873716,13,2,0.478515625,0.205128205,2.959685685,0.413793103,7
556,mammalia_voles_kcs_trapping_16,3.034482759,5.295918367,0.107015458,0.345707248,71,2,0.033453096,5.729301966,0.174541333,58,24,0.703816927,0.064730792,5.729301966,0.504950495,11
557,mammalia_voles_kcs_trapping_17,3,6.012195122,0.124579125,0.285907859,78,18,0.039342323,3.324966762,0.300754886,27,15,0.653739612,0.108262108,3.324966762,0.43902439,12
558,mammalia_voles_kcs_trapping_18,2.764705882,6.514705882,0.192156863,0.4,83,32,0.08360935,3.765724116,0.265553176,15,13,0.45463138,0.219047619,3.765724116,0.535714286,9
559,mammalia_voles_kcs_trapping_19,2.9,9.565217391,0.5,0.793478261,90,77,1,2.170086487,0.460811127,4,1,0,0.666666667,2.170086487,0.6,2
